#File,MD5,SHA-1
junit-4.8.1.jar,fb44723f35c2f1af5c51eb729b502f0d,f2975548f836416306ef1dee748d956f04733915
plexus-utils-1.1.jar,49e112a6c1ad24962643ef9494f9cbe1,fa632b7f1cb7c50963d0fb7d818ca93c75c10127
